"","beta_r2","beta_r3","beta_r4","beta_r5"
"1",-1.37904915421318,-0.397684876103958,0.230681444238643,1.54605258607849
"2",-0.672589734733835,-1.15617148955903,0.0446635583023799,1.78409766599049
"3",-0.957005994564191,-0.718432495660324,0.464242927929014,1.2111955622955
"4",-1.135121710155,-0.603284108214303,0.441030723795673,1.29737509457363
"5",-1.38778190606739,-0.629430970205304,0.440786223979386,1.57642665229331
"6",-1.49139908654931,-0.879277483335315,0.759835457363371,1.61084111252125
"7",-0.886903349124405,-0.971753494542824,-0.0191451282693787,1.87780197193661
"8",-1.38617663866992,-0.511277621500175,0.38685518716652,1.51059907300358
"9",-0.859013887739034,-0.698608360479836,0.106921954683442,1.45070029353543
"10",-1.38563853171563,-0.881325383373933,-0.0323461063822067,2.29931002147177
"11",-1.43484175300328,-0.144566724226844,0.321445506527596,1.25796297070253
"12",-1.11992296413747,-0.728066401556202,0.596506350532568,1.25148301516111
"13",-0.939659943560505,-0.461625337831066,0.00766215361667577,1.3936231277749
"14",-1.958770571634,-0.701755329607561,0.735811801019602,1.92471410022196
"15",-0.778306127483002,-0.782003452253611,0.273075377729292,1.28723420200732
"16",-0.435622343431429,-0.390098107955342,-0.0887092143707095,0.91442966575748
"17",-0.660113915138232,-0.736042803690179,-0.00652496915718151,1.40268168798559
"18",-0.942543711862134,-0.427312449288229,0.724706723843304,0.645149437307059
"19",-0.307356756523512,-1.14799644605574,0.0208453514392658,1.43450785113999
